"Kod";"Nazwa";"Rodzaje gmin";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1063000;"Powiat m.Skierniewice";"gmina miejska razem";"2021";1;"-";"";
1063000;"Powiat m.Skierniewice";"gmina miejsko-wiejska";"2021";0;"-";"";
1063000;"Powiat m.Skierniewice";"gmina wiejska";"2021";0;"-";"";
1200000;"MAŁOPOLSKIE";"gmina miejska razem";"2021";14;"-";"";
1200000;"MAŁOPOLSKIE";"gmina miejsko-wiejska";"2021";48;"-";"";
1200000;"MAŁOPOLSKIE";"gmina wiejska";"2021";120;"-";"";
1201000;"Powiat bocheński";"gmina miejska razem";"2021";1;"-";"";
1201000;"Powiat bocheński";"gmina miejsko-wiejska";"2021";1;"-";"";
1201000;"Powiat bocheński";"gmina wiejska";"2021";7;"-";"";
1202000;"Powiat brzeski";"gmina miejska razem";"2021";0;"-";"";
1202000;"Powiat brzeski";"gmina miejsko-wiejska";"2021";2;"-";"";
1202000;"Powiat brzeski";"gmina wiejska";"2021";5;"-";"";
1203000;"Powiat chrzanowski";"gmina miejska razem";"2021";0;"-";"";
1203000;"Powiat chrzanowski";"gmina miejsko-wiejska";"2021";4;"-";"";
1203000;"Powiat chrzanowski";"gmina wiejska";"2021";1;"-";"";
1204000;"Powiat dąbrowski";"gmina miejska razem";"2021";0;"-";"";
1204000;"Powiat dąbrowski";"gmina miejsko-wiejska";"2021";2;"-";"";
1204000;"Powiat dąbrowski";"gmina wiejska";"2021";5;"-";"";
1205000;"Powiat gorlicki";"gmina miejska razem";"2021";1;"-";"";
1205000;"Powiat gorlicki";"gmina miejsko-wiejska";"2021";2;"-";"";
1205000;"Powiat gorlicki";"gmina wiejska";"2021";7;"-";"";
1206000;"Powiat krakowski";"gmina miejska razem";"2021";0;"-";"";
1206000;"Powiat krakowski";"gmina miejsko-wiejska";"2021";5;"-";"";
1206000;"Powiat krakowski";"gmina wiejska";"2021";12;"-";"";
1207000;"Powiat limanowski";"gmina miejska razem";"2021";2;"-";"";
1207000;"Powiat limanowski";"gmina miejsko-wiejska";"2021";0;"-";"";
1207000;"Powiat limanowski";"gmina wiejska";"2021";10;"-";"";
1208000;"Powiat miechowski";"gmina miejska razem";"2021";0;"-";"";
1208000;"Powiat miechowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1208000;"Powiat miechowski";"gmina wiejska";"2021";6;"-";"";
1209000;"Powiat myślenicki";"gmina miejska razem";"2021";0;"-";"";
1209000;"Powiat myślenicki";"gmina miejsko-wiejska";"2021";3;"-";"";
1209000;"Powiat myślenicki";"gmina wiejska";"2021";6;"-";"";
1210000;"Powiat nowosądecki";"gmina miejska razem";"2021";1;"-";"";
1210000;"Powiat nowosądecki";"gmina miejsko-wiejska";"2021";4;"-";"";
1210000;"Powiat nowosądecki";"gmina wiejska";"2021";11;"-";"";
1211000;"Powiat nowotarski";"gmina miejska razem";"2021";1;"-";"";
1211000;"Powiat nowotarski";"gmina miejsko-wiejska";"2021";2;"-";"";
1211000;"Powiat nowotarski";"gmina wiejska";"2021";11;"-";"";
1212000;"Powiat olkuski";"gmina miejska razem";"2021";1;"-";"";
1212000;"Powiat olkuski";"gmina miejsko-wiejska";"2021";2;"-";"";
1212000;"Powiat olkuski";"gmina wiejska";"2021";3;"-";"";
1213000;"Powiat oświęcimski";"gmina miejska razem";"2021";1;"-";"";
1213000;"Powiat oświęcimski";"gmina miejsko-wiejska";"2021";4;"-";"";
1213000;"Powiat oświęcimski";"gmina wiejska";"2021";4;"-";"";
1214000;"Powiat proszowicki";"gmina miejska razem";"2021";0;"-";"";
1214000;"Powiat proszowicki";"gmina miejsko-wiejska";"2021";3;"-";"";
1214000;"Powiat proszowicki";"gmina wiejska";"2021";3;"-";"";
1215000;"Powiat suski";"gmina miejska razem";"2021";2;"-";"";
1215000;"Powiat suski";"gmina miejsko-wiejska";"2021";1;"-";"";
1215000;"Powiat suski";"gmina wiejska";"2021";6;"-";"";
1216000;"Powiat tarnowski";"gmina miejska razem";"2021";0;"-";"";
1216000;"Powiat tarnowski";"gmina miejsko-wiejska";"2021";7;"-";"";
1216000;"Powiat tarnowski";"gmina wiejska";"2021";9;"-";"";
1217000;"Powiat tatrzański";"gmina miejska razem";"2021";1;"-";"";
1217000;"Powiat tatrzański";"gmina miejsko-wiejska";"2021";0;"-";"";
1217000;"Powiat tatrzański";"gmina wiejska";"2021";4;"-";"";
1218000;"Powiat wadowicki";"gmina miejska razem";"2021";0;"-";"";
1218000;"Powiat wadowicki";"gmina miejsko-wiejska";"2021";3;"-";"";
1218000;"Powiat wadowicki";"gmina wiejska";"2021";7;"-";"";
1219000;"Powiat wielicki";"gmina miejska razem";"2021";0;"-";"";
1219000;"Powiat wielicki";"gmina miejsko-wiejska";"2021";2;"-";"";
1219000;"Powiat wielicki";"gmina wiejska";"2021";3;"-";"";
1261000;"Powiat m.Kraków";"gmina miejska razem";"2021";1;"-";"";
1261000;"Powiat m.Kraków";"gmina miejsko-wiejska";"2021";0;"-";"";
1261000;"Powiat m.Kraków";"gmina wiejska";"2021";0;"-";"";
1262000;"Powiat m.Nowy Sącz";"gmina miejska razem";"2021";1;"-";"";
1262000;"Powiat m.Nowy Sącz";"gmina miejsko-wiejska";"2021";0;"-";"";
1262000;"Powiat m.Nowy Sącz";"gmina wiejska";"2021";0;"-";"";
1263000;"Powiat m.Tarnów";"gmina miejska razem";"2021";1;"-";"";
1263000;"Powiat m.Tarnów";"gmina miejsko-wiejska";"2021";0;"-";"";
1263000;"Powiat m.Tarnów";"gmina wiejska";"2021";0;"-";"";
1400000;"MAZOWIECKIE";"gmina miejska razem";"2021";35;"-";"";
1400000;"MAZOWIECKIE";"gmina miejsko-wiejska";"2021";57;"-";"";
1400000;"MAZOWIECKIE";"gmina wiejska";"2021";222;"-";"";
1401000;"Powiat białobrzeski";"gmina miejska razem";"2021";0;"-";"";
1401000;"Powiat białobrzeski";"gmina miejsko-wiejska";"2021";2;"-";"";
1401000;"Powiat białobrzeski";"gmina wiejska";"2021";4;"-";"";
1402000;"Powiat ciechanowski";"gmina miejska razem";"2021";1;"-";"";
1402000;"Powiat ciechanowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1402000;"Powiat ciechanowski";"gmina wiejska";"2021";7;"-";"";
1403000;"Powiat garwoliński";"gmina miejska razem";"2021";2;"-";"";
1403000;"Powiat garwoliński";"gmina miejsko-wiejska";"2021";2;"-";"";
1403000;"Powiat garwoliński";"gmina wiejska";"2021";10;"-";"";
1404000;"Powiat gostyniński";"gmina miejska razem";"2021";1;"-";"";
1404000;"Powiat gostyniński";"gmina miejsko-wiejska";"2021";1;"-";"";
1404000;"Powiat gostyniński";"gmina wiejska";"2021";3;"-";"";
1405000;"Powiat grodziski";"gmina miejska razem";"2021";2;"-";"";
1405000;"Powiat grodziski";"gmina miejsko-wiejska";"2021";1;"-";"";
1405000;"Powiat grodziski";"gmina wiejska";"2021";3;"-";"";
1406000;"Powiat grójecki";"gmina miejska razem";"2021";0;"-";"";
1406000;"Powiat grójecki";"gmina miejsko-wiejska";"2021";4;"-";"";
1406000;"Powiat grójecki";"gmina wiejska";"2021";6;"-";"";
1407000;"Powiat kozienicki";"gmina miejska razem";"2021";0;"-";"";
1407000;"Powiat kozienicki";"gmina miejsko-wiejska";"2021";1;"-";"";
1407000;"Powiat kozienicki";"gmina wiejska";"2021";6;"-";"";
1408000;"Powiat legionowski";"gmina miejska razem";"2021";1;"-";"";
1408000;"Powiat legionowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1408000;"Powiat legionowski";"gmina wiejska";"2021";3;"-";"";
1409000;"Powiat lipski";"gmina miejska razem";"2021";0;"-";"";
1409000;"Powiat lipski";"gmina miejsko-wiejska";"2021";2;"-";"";
1409000;"Powiat lipski";"gmina wiejska";"2021";4;"-";"";
1410000;"Powiat łosicki";"gmina miejska razem";"2021";0;"-";"";
1410000;"Powiat łosicki";"gmina miejsko-wiejska";"2021";1;"-";"";
1410000;"Powiat łosicki";"gmina wiejska";"2021";5;"-";"";
1411000;"Powiat makowski";"gmina miejska razem";"2021";1;"-";"";
1411000;"Powiat makowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1411000;"Powiat makowski";"gmina wiejska";"2021";8;"-";"";
1412000;"Powiat miński";"gmina miejska razem";"2021";2;"-";"";
1412000;"Powiat miński";"gmina miejsko-wiejska";"2021";3;"-";"";
1412000;"Powiat miński";"gmina wiejska";"2021";8;"-";"";
1413000;"Powiat mławski";"gmina miejska razem";"2021";1;"-";"";
1413000;"Powiat mławski";"gmina miejsko-wiejska";"2021";0;"-";"";
1413000;"Powiat mławski";"gmina wiejska";"2021";9;"-";"";
1414000;"Powiat nowodworski";"gmina miejska razem";"2021";1;"-";"";
1414000;"Powiat nowodworski";"gmina miejsko-wiejska";"2021";2;"-";"";
1414000;"Powiat nowodworski";"gmina wiejska";"2021";3;"-";"";
1415000;"Powiat ostrołęcki";"gmina miejska razem";"2021";0;"-";"";
1415000;"Powiat ostrołęcki";"gmina miejsko-wiejska";"2021";1;"-";"";
1415000;"Powiat ostrołęcki";"gmina wiejska";"2021";10;"-";"";
1416000;"Powiat ostrowski";"gmina miejska razem";"2021";1;"-";"";
1416000;"Powiat ostrowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1416000;"Powiat ostrowski";"gmina wiejska";"2021";9;"-";"";
1417000;"Powiat otwocki";"gmina miejska razem";"2021";2;"-";"";
1417000;"Powiat otwocki";"gmina miejsko-wiejska";"2021";1;"-";"";
1417000;"Powiat otwocki";"gmina wiejska";"2021";5;"-";"";
1418000;"Powiat piaseczyński";"gmina miejska razem";"2021";0;"-";"";
1418000;"Powiat piaseczyński";"gmina miejsko-wiejska";"2021";4;"-";"";
1418000;"Powiat piaseczyński";"gmina wiejska";"2021";2;"-";"";
1419000;"Powiat płocki";"gmina miejska razem";"2021";0;"-";"";
1419000;"Powiat płocki";"gmina miejsko-wiejska";"2021";3;"-";"";
1419000;"Powiat płocki";"gmina wiejska";"2021";12;"-";"";
1420000;"Powiat płoński";"gmina miejska razem";"2021";2;"-";"";
1420000;"Powiat płoński";"gmina miejsko-wiejska";"2021";2;"-";"";
1420000;"Powiat płoński";"gmina wiejska";"2021";8;"-";"";
1421000;"Powiat pruszkowski";"gmina miejska razem";"2021";2;"-";"";
1421000;"Powiat pruszkowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1421000;"Powiat pruszkowski";"gmina wiejska";"2021";3;"-";"";
1422000;"Powiat przasnyski";"gmina miejska razem";"2021";1;"-";"";
1422000;"Powiat przasnyski";"gmina miejsko-wiejska";"2021";1;"-";"";
1422000;"Powiat przasnyski";"gmina wiejska";"2021";5;"-";"";
1423000;"Powiat przysuski";"gmina miejska razem";"2021";0;"-";"";
1423000;"Powiat przysuski";"gmina miejsko-wiejska";"2021";1;"-";"";
1423000;"Powiat przysuski";"gmina wiejska";"2021";7;"-";"";
1424000;"Powiat pułtuski";"gmina miejska razem";"2021";0;"-";"";
1424000;"Powiat pułtuski";"gmina miejsko-wiejska";"2021";1;"-";"";
1424000;"Powiat pułtuski";"gmina wiejska";"2021";6;"-";"";
1425000;"Powiat radomski";"gmina miejska razem";"2021";1;"-";"";
1425000;"Powiat radomski";"gmina miejsko-wiejska";"2021";2;"-";"";
1425000;"Powiat radomski";"gmina wiejska";"2021";10;"-";"";
1426000;"Powiat siedlecki";"gmina miejska razem";"2021";0;"-";"";
1426000;"Powiat siedlecki";"gmina miejsko-wiejska";"2021";1;"-";"";
1426000;"Powiat siedlecki";"gmina wiejska";"2021";12;"-";"";
1427000;"Powiat sierpecki";"gmina miejska razem";"2021";1;"-";"";
1427000;"Powiat sierpecki";"gmina miejsko-wiejska";"2021";0;"-";"";
1427000;"Powiat sierpecki";"gmina wiejska";"2021";6;"-";"";
1428000;"Powiat sochaczewski";"gmina miejska razem";"2021";1;"-";"";
1428000;"Powiat sochaczewski";"gmina miejsko-wiejska";"2021";0;"-";"";
1428000;"Powiat sochaczewski";"gmina wiejska";"2021";7;"-";"";
1429000;"Powiat sokołowski";"gmina miejska razem";"2021";1;"-";"";
1429000;"Powiat sokołowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1429000;"Powiat sokołowski";"gmina wiejska";"2021";7;"-";"";
1430000;"Powiat szydłowiecki";"gmina miejska razem";"2021";0;"-";"";
1430000;"Powiat szydłowiecki";"gmina miejsko-wiejska";"2021";1;"-";"";
1430000;"Powiat szydłowiecki";"gmina wiejska";"2021";4;"-";"";
1432000;"Powiat warszawski zachodni";"gmina miejska razem";"2021";0;"-";"";
1432000;"Powiat warszawski zachodni";"gmina miejsko-wiejska";"2021";3;"-";"";
1432000;"Powiat warszawski zachodni";"gmina wiejska";"2021";4;"-";"";
1433000;"Powiat węgrowski";"gmina miejska razem";"2021";1;"-";"";
1433000;"Powiat węgrowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1433000;"Powiat węgrowski";"gmina wiejska";"2021";7;"-";"";
1434000;"Powiat wołomiński";"gmina miejska razem";"2021";4;"-";"";
1434000;"Powiat wołomiński";"gmina miejsko-wiejska";"2021";3;"-";"";
1434000;"Powiat wołomiński";"gmina wiejska";"2021";5;"-";"";
1435000;"Powiat wyszkowski";"gmina miejska razem";"2021";0;"-";"";
1435000;"Powiat wyszkowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1435000;"Powiat wyszkowski";"gmina wiejska";"2021";5;"-";"";
1436000;"Powiat zwoleński";"gmina miejska razem";"2021";0;"-";"";
1436000;"Powiat zwoleński";"gmina miejsko-wiejska";"2021";1;"-";"";
1436000;"Powiat zwoleński";"gmina wiejska";"2021";4;"-";"";
1437000;"Powiat żuromiński";"gmina miejska razem";"2021";0;"-";"";
1437000;"Powiat żuromiński";"gmina miejsko-wiejska";"2021";3;"-";"";
1437000;"Powiat żuromiński";"gmina wiejska";"2021";3;"-";"";
1438000;"Powiat żyrardowski";"gmina miejska razem";"2021";1;"-";"";
1438000;"Powiat żyrardowski";"gmina miejsko-wiejska";"2021";2;"-";"";
1438000;"Powiat żyrardowski";"gmina wiejska";"2021";2;"-";"";
1461000;"Powiat m.Ostrołęka";"gmina miejska razem";"2021";1;"-";"";
1461000;"Powiat m.Ostrołęka";"gmina miejsko-wiejska";"2021";0;"-";"";
1461000;"Powiat m.Ostrołęka";"gmina wiejska";"2021";0;"-";"";
1462000;"Powiat m.Płock";"gmina miejska razem";"2021";1;"-";"";
1462000;"Powiat m.Płock";"gmina miejsko-wiejska";"2021";0;"-";"";
1462000;"Powiat m.Płock";"gmina wiejska";"2021";0;"-";"";
1463000;"Powiat m.Radom";"gmina miejska razem";"2021";1;"-";"";
1463000;"Powiat m.Radom";"gmina miejsko-wiejska";"2021";0;"-";"";
1463000;"Powiat m.Radom";"gmina wiejska";"2021";0;"-";"";
1464000;"Powiat m.Siedlce";"gmina miejska razem";"2021";1;"-";"";
1464000;"Powiat m.Siedlce";"gmina miejsko-wiejska";"2021";0;"-";"";
1464000;"Powiat m.Siedlce";"gmina wiejska";"2021";0;"-";"";
1465000;"Powiat m. st. Warszawa";"gmina miejska razem";"2021";1;"-";"";
1465000;"Powiat m. st. Warszawa";"gmina miejsko-wiejska";"2021";0;"-";"";
1465000;"Powiat m. st. Warszawa";"gmina wiejska";"2021";0;"-";"";
1600000;"OPOLSKIE";"gmina miejska razem";"2021";3;"-";"";
1600000;"OPOLSKIE";"gmina miejsko-wiejska";"2021";33;"-";"";
1600000;"OPOLSKIE";"gmina wiejska";"2021";35;"-";"";
1601000;"Powiat brzeski";"gmina miejska razem";"2021";1;"-";"";
1601000;"Powiat brzeski";"gmina miejsko-wiejska";"2021";2;"-";"";
1601000;"Powiat brzeski";"gmina wiejska";"2021";3;"-";"";
1602000;"Powiat głubczycki";"gmina miejska razem";"2021";0;"-";"";
1602000;"Powiat głubczycki";"gmina miejsko-wiejska";"2021";3;"-";"";
1602000;"Powiat głubczycki";"gmina wiejska";"2021";1;"-";"";
1603000;"Powiat kędzierzyńsko-kozielski";"gmina miejska razem";"2021";1;"-";"";
1603000;"Powiat kędzierzyńsko-kozielski";"gmina miejsko-wiejska";"2021";0;"-";"";
1603000;"Powiat kędzierzyńsko-kozielski";"gmina wiejska";"2021";5;"-";"";
1604000;"Powiat kluczborski";"gmina miejska razem";"2021";0;"-";"";
1604000;"Powiat kluczborski";"gmina miejsko-wiejska";"2021";3;"-";"";
1604000;"Powiat kluczborski";"gmina wiejska";"2021";1;"-";"";
1605000;"Powiat krapkowicki";"gmina miejska razem";"2021";0;"-";"";
1605000;"Powiat krapkowicki";"gmina miejsko-wiejska";"2021";3;"-";"";
1605000;"Powiat krapkowicki";"gmina wiejska";"2021";2;"-";"";
1606000;"Powiat namysłowski";"gmina miejska razem";"2021";0;"-";"";
1606000;"Powiat namysłowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1606000;"Powiat namysłowski";"gmina wiejska";"2021";4;"-";"";
1607000;"Powiat nyski";"gmina miejska razem";"2021";0;"-";"";
1607000;"Powiat nyski";"gmina miejsko-wiejska";"2021";5;"-";"";
1607000;"Powiat nyski";"gmina wiejska";"2021";4;"-";"";
1608000;"Powiat oleski";"gmina miejska razem";"2021";0;"-";"";
1608000;"Powiat oleski";"gmina miejsko-wiejska";"2021";4;"-";"";
1608000;"Powiat oleski";"gmina wiejska";"2021";3;"-";"";
1609000;"Powiat opolski";"gmina miejska razem";"2021";0;"-";"";
1609000;"Powiat opolski";"gmina miejsko-wiejska";"2021";4;"-";"";
1609000;"Powiat opolski";"gmina wiejska";"2021";9;"-";"";
1610000;"Powiat prudnicki";"gmina miejska razem";"2021";0;"-";"";
1610000;"Powiat prudnicki";"gmina miejsko-wiejska";"2021";3;"-";"";
1610000;"Powiat prudnicki";"gmina wiejska";"2021";1;"-";"";
1611000;"Powiat strzelecki";"gmina miejska razem";"2021";0;"-";"";
1611000;"Powiat strzelecki";"gmina miejsko-wiejska";"2021";5;"-";"";
1611000;"Powiat strzelecki";"gmina wiejska";"2021";2;"-";"";
1661000;"Powiat m.Opole";"gmina miejska razem";"2021";1;"-";"";
1661000;"Powiat m.Opole";"gmina miejsko-wiejska";"2021";0;"-";"";
1661000;"Powiat m.Opole";"gmina wiejska";"2021";0;"-";"";
1800000;"PODKARPACKIE";"gmina miejska razem";"2021";16;"-";"";
1800000;"PODKARPACKIE";"gmina miejsko-wiejska";"2021";36;"-";"";
1800000;"PODKARPACKIE";"gmina wiejska";"2021";108;"-";"";
1801000;"Powiat bieszczadzki";"gmina miejska razem";"2021";0;"-";"";
1801000;"Powiat bieszczadzki";"gmina miejsko-wiejska";"2021";1;"-";"";
1801000;"Powiat bieszczadzki";"gmina wiejska";"2021";2;"-";"";
1802000;"Powiat brzozowski";"gmina miejska razem";"2021";0;"-";"";
1802000;"Powiat brzozowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1802000;"Powiat brzozowski";"gmina wiejska";"2021";5;"-";"";
1803000;"Powiat dębicki";"gmina miejska razem";"2021";1;"-";"";
1803000;"Powiat dębicki";"gmina miejsko-wiejska";"2021";2;"-";"";
1803000;"Powiat dębicki";"gmina wiejska";"2021";4;"-";"";
1804000;"Powiat jarosławski";"gmina miejska razem";"2021";2;"-";"";
1804000;"Powiat jarosławski";"gmina miejsko-wiejska";"2021";1;"-";"";
1804000;"Powiat jarosławski";"gmina wiejska";"2021";8;"-";"";
1805000;"Powiat jasielski";"gmina miejska razem";"2021";1;"-";"";
1805000;"Powiat jasielski";"gmina miejsko-wiejska";"2021";1;"-";"";
1805000;"Powiat jasielski";"gmina wiejska";"2021";8;"-";"";
1806000;"Powiat kolbuszowski";"gmina miejska razem";"2021";0;"-";"";
1806000;"Powiat kolbuszowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1806000;"Powiat kolbuszowski";"gmina wiejska";"2021";5;"-";"";
1807000;"Powiat krośnieński";"gmina miejska razem";"2021";0;"-";"";
1807000;"Powiat krośnieński";"gmina miejsko-wiejska";"2021";4;"-";"";
1807000;"Powiat krośnieński";"gmina wiejska";"2021";6;"-";"";
1808000;"Powiat leżajski";"gmina miejska razem";"2021";1;"-";"";
1808000;"Powiat leżajski";"gmina miejsko-wiejska";"2021";1;"-";"";
1808000;"Powiat leżajski";"gmina wiejska";"2021";3;"-";"";
1809000;"Powiat lubaczowski";"gmina miejska razem";"2021";1;"-";"";
1809000;"Powiat lubaczowski";"gmina miejsko-wiejska";"2021";3;"-";"";
1809000;"Powiat lubaczowski";"gmina wiejska";"2021";4;"-";"";
1810000;"Powiat łańcucki";"gmina miejska razem";"2021";1;"-";"";
1810000;"Powiat łańcucki";"gmina miejsko-wiejska";"2021";0;"-";"";
1810000;"Powiat łańcucki";"gmina wiejska";"2021";6;"-";"";
1811000;"Powiat mielecki";"gmina miejska razem";"2021";1;"-";"";
1811000;"Powiat mielecki";"gmina miejsko-wiejska";"2021";2;"-";"";
1811000;"Powiat mielecki";"gmina wiejska";"2021";7;"-";"";
1812000;"Powiat niżański";"gmina miejska razem";"2021";0;"-";"";
1812000;"Powiat niżański";"gmina miejsko-wiejska";"2021";3;"-";"";
1812000;"Powiat niżański";"gmina wiejska";"2021";4;"-";"";
1813000;"Powiat przemyski";"gmina miejska razem";"2021";0;"-";"";
1813000;"Powiat przemyski";"gmina miejsko-wiejska";"2021";1;"-";"";
1813000;"Powiat przemyski";"gmina wiejska";"2021";9;"-";"";
1814000;"Powiat przeworski";"gmina miejska razem";"2021";1;"-";"";
1814000;"Powiat przeworski";"gmina miejsko-wiejska";"2021";2;"-";"";
1814000;"Powiat przeworski";"gmina wiejska";"2021";6;"-";"";
1815000;"Powiat ropczycko-sędziszowski";"gmina miejska razem";"2021";0;"-";"";
1815000;"Powiat ropczycko-sędziszowski";"gmina miejsko-wiejska";"2021";2;"-";"";
1815000;"Powiat ropczycko-sędziszowski";"gmina wiejska";"2021";3;"-";"";
1816000;"Powiat rzeszowski";"gmina miejska razem";"2021";1;"-";"";
1816000;"Powiat rzeszowski";"gmina miejsko-wiejska";"2021";5;"-";"";
1816000;"Powiat rzeszowski";"gmina wiejska";"2021";8;"-";"";
1817000;"Powiat sanocki";"gmina miejska razem";"2021";1;"-";"";
1817000;"Powiat sanocki";"gmina miejsko-wiejska";"2021";1;"-";"";
1817000;"Powiat sanocki";"gmina wiejska";"2021";6;"-";"";
1818000;"Powiat stalowowolski";"gmina miejska razem";"2021";1;"-";"";
1818000;"Powiat stalowowolski";"gmina miejsko-wiejska";"2021";1;"-";"";
1818000;"Powiat stalowowolski";"gmina wiejska";"2021";4;"-";"";
1819000;"Powiat strzyżowski";"gmina miejska razem";"2021";0;"-";"";
1819000;"Powiat strzyżowski";"gmina miejsko-wiejska";"2021";1;"-";"";
1819000;"Powiat strzyżowski";"gmina wiejska";"2021";4;"-";"";
1820000;"Powiat tarnobrzeski";"gmina miejska razem";"2021";0;"-";"";
1820000;"Powiat tarnobrzeski";"gmina miejsko-wiejska";"2021";2;"-";"";
1820000;"Powiat tarnobrzeski";"gmina wiejska";"2021";2;"-";"";
1821000;"Powiat leski";"gmina miejska razem";"2021";0;"-";"";
1821000;"Powiat leski";"gmina miejsko-wiejska";"2021";1;"-";"";
1821000;"Powiat leski";"gmina wiejska";"2021";4;"-";"";
1861000;"Powiat m.Krosno";"gmina miejska razem";"2021";1;"-";"";
1861000;"Powiat m.Krosno";"gmina miejsko-wiejska";"2021";0;"-";"";
1861000;"Powiat m.Krosno";"gmina wiejska";"2021";0;"-";"";
1862000;"Powiat m.Przemyśl";"gmina miejska razem";"2021";1;"-";"";
1862000;"Powiat m.Przemyśl";"gmina miejsko-wiejska";"2021";0;"-";"";
1862000;"Powiat m.Przemyśl";"gmina wiejska";"2021";0;"-";"";
1863000;"Powiat m.Rzeszów";"gmina miejska razem";"2021";1;"-";"";
1863000;"Powiat m.Rzeszów";"gmina miejsko-wiejska";"2021";0;"-";"";
1863000;"Powiat m.Rzeszów";"gmina wiejska";"2021";0;"-";"";
1864000;"Powiat m.Tarnobrzeg";"gmina miejska razem";"2021";1;"-";"";
1864000;"Powiat m.Tarnobrzeg";"gmina miejsko-wiejska";"2021";0;"-";"";
1864000;"Powiat m.Tarnobrzeg";"gmina wiejska";"2021";0;"-";"";
2000000;"PODLASKIE";"gmina miejska razem";"2021";13;"-";"";
2000000;"PODLASKIE";"gmina miejsko-wiejska";"2021";27;"-";"";
2000000;"PODLASKIE";"gmina wiejska";"2021";78;"-";"";
2001000;"Powiat augustowski";"gmina miejska razem";"2021";1;"-";"";
2001000;"Powiat augustowski";"gmina miejsko-wiejska";"2021";1;"-";"";
2001000;"Powiat augustowski";"gmina wiejska";"2021";5;"-";"";
2002000;"Powiat białostocki";"gmina miejska razem";"2021";0;"-";"";
2002000;"Powiat białostocki";"gmina miejsko-wiejska";"2021";9;"-";"";
2002000;"Powiat białostocki";"gmina wiejska";"2021";6;"-";"";
2003000;"Powiat bielski";"gmina miejska razem";"2021";2;"-";"";
2003000;"Powiat bielski";"gmina miejsko-wiejska";"2021";0;"-";"";
2003000;"Powiat bielski";"gmina wiejska";"2021";6;"-";"";
2004000;"Powiat grajewski";"gmina miejska razem";"2021";1;"-";"";
2004000;"Powiat grajewski";"gmina miejsko-wiejska";"2021";2;"-";"";
2004000;"Powiat grajewski";"gmina wiejska";"2021";3;"-";"";
2005000;"Powiat hajnowski";"gmina miejska razem";"2021";1;"-";"";
2005000;"Powiat hajnowski";"gmina miejsko-wiejska";"2021";1;"-";"";
2005000;"Powiat hajnowski";"gmina wiejska";"2021";7;"-";"";
2006000;"Powiat kolneński";"gmina miejska razem";"2021";1;"-";"";
2006000;"Powiat kolneński";"gmina miejsko-wiejska";"2021";1;"-";"";
2006000;"Powiat kolneński";"gmina wiejska";"2021";4;"-";"";
2007000;"Powiat łomżyński";"gmina miejska razem";"2021";0;"-";"";
2007000;"Powiat łomżyński";"gmina miejsko-wiejska";"2021";2;"-";"";
2007000;"Powiat łomżyński";"gmina wiejska";"2021";7;"-";"";
2008000;"Powiat moniecki";"gmina miejska razem";"2021";0;"-";"";
2008000;"Powiat moniecki";"gmina miejsko-wiejska";"2021";3;"-";"";
2008000;"Powiat moniecki";"gmina wiejska";"2021";4;"-";"";
2009000;"Powiat sejneński";"gmina miejska razem";"2021";1;"-";"";
2009000;"Powiat sejneński";"gmina miejsko-wiejska";"2021";0;"-";"";
2009000;"Powiat sejneński";"gmina wiejska";"2021";4;"-";"";
2010000;"Powiat siemiatycki";"gmina miejska razem";"2021";1;"-";"";
2010000;"Powiat siemiatycki";"gmina miejsko-wiejska";"2021";1;"-";"";
2010000;"Powiat siemiatycki";"gmina wiejska";"2021";7;"-";"";
2011000;"Powiat sokólski";"gmina miejska razem";"2021";0;"-";"";
2011000;"Powiat sokólski";"gmina miejsko-wiejska";"2021";4;"-";"";
2011000;"Powiat sokólski";"gmina wiejska";"2021";6;"-";"";
2012000;"Powiat suwalski";"gmina miejska razem";"2021";0;"-";"";
2012000;"Powiat suwalski";"gmina miejsko-wiejska";"2021";0;"-";"";
2012000;"Powiat suwalski";"gmina wiejska";"2021";9;"-";"";
2013000;"Powiat wysokomazowiecki";"gmina miejska razem";"2021";1;"-";"";
2013000;"Powiat wysokomazowiecki";"gmina miejsko-wiejska";"2021";3;"-";"";
2013000;"Powiat wysokomazowiecki";"gmina wiejska";"2021";6;"-";"";
2014000;"Powiat zambrowski";"gmina miejska razem";"2021";1;"-";"";
2014000;"Powiat zambrowski";"gmina miejsko-wiejska";"2021";0;"-";"";
2014000;"Powiat zambrowski";"gmina wiejska";"2021";4;"-";"";
2061000;"Powiat m.Białystok";"gmina miejska razem";"2021";1;"-";"";
